X	Y	Class label
0.632	0.482	Red
0.584	0.538	Red
0.611	0.538	Red
0.632	0.496	Red
0.710	0.545	Red
0.625	0.606	Red
0.641	0.576	Red
0.633	0.521	Red
0.704	0.611	Red
0.664	0.586	Red
0.703	0.527	Red
0.695	0.528	Red
0.712	0.576	Red
0.670	0.612	Red
0.726	0.616	Red
0.686	0.547	Red
0.623	0.616	Red
0.712	0.583	Red
0.627	0.596	Red
0.705	0.610	Red
0.718	0.613	Red
0.661	0.609	Red
0.650	0.727	Red
0.689	0.630	Red
0.702	0.608	Red
0.735	0.575	Red
0.716	0.639	Red
0.645	0.661	Red
0.660	0.655	Red
0.677	0.655	Red
0.716	0.655	Red
0.656	0.674	Red
0.644	0.626	Red
0.650	0.690	Red
0.668	0.610	Red
0.642	0.683	Red
0.694	0.645	Red
0.594	0.657	Red
0.636	0.671	Red
0.665	0.636	Red
0.636	0.663	Red
0.596	0.741	Red
0.676	0.689	Red
0.557	0.611	Red
0.555	0.674	Red
0.521	0.647	Red
0.630	0.668	Red
0.595	0.588	Red
0.513	0.644	Red
0.532	0.580	Red
0.602	0.618	Red
0.603	0.648	Red
0.489	0.677	Red
0.593	0.614	Red
0.539	0.579	Red
0.522	0.599	Red
0.512	0.537	Red
0.540	0.575	Red
0.573	0.557	Red
0.544	0.521	Red
0.559	0.533	Red
0.527	0.571	Red
0.533	0.602	Red
0.631	0.516	Red
0.566	0.492	Red
0.592	0.507	Red
0.625	0.481	Red
0.606	0.553	Red
0.679	0.522	Red
0.585	0.491	Red
0.638	0.532	Red
0.646	0.490	Red
0.640	0.425	Red
0.712	0.516	Red
0.716	0.480	Red
0.756	0.504	Red
0.718	0.497	Red
0.747	0.502	Red
0.728	0.524	Red
0.758	0.516	Red
0.744	0.547	Red
0.821	0.539	Red
0.736	0.608	Red
0.738	0.520	Red
0.761	0.578	Red
0.775	0.584	Red
0.846	0.595	Red
0.746	0.574	Red
0.770	0.618	Red
0.810	0.670	Red
0.722	0.580	Red
0.691	0.612	Red
0.718	0.562	Red
0.777	0.638	Red
0.723	0.599	Red
0.744	0.656	Red
0.785	0.659	Red
0.714	0.604	Red
0.791	0.663	Red
0.759	0.687	Red
0.809	0.655	Red
0.762	0.582	Red
0.736	0.692	Red
0.686	0.650	Red
0.668	0.644	Red
0.673	0.655	Red
0.722	0.695	Red
0.740	0.740	Red
0.734	0.668	Red
0.660	0.662	Red
0.686	0.708	Red
0.726	0.718	Red
0.677	0.661	Red
0.657	0.656	Red
0.571	0.640	Red
0.662	0.634	Red
0.686	0.673	Red
0.665	0.695	Red
0.633	0.563	Red
0.586	0.602	Red
0.573	0.637	Red
0.567	0.633	Red
0.577	0.653	Red
0.509	0.620	Red
0.608	0.619	Red
0.643	0.571	Red
0.688	0.638	Red
0.592	0.590	Red
0.607	0.587	Red
0.676	0.572	Red
0.601	0.579	Red
0.654	0.516	Red
0.611	0.607	Red
0.576	0.483	Red
0.638	0.530	Red
0.585	0.465	Red
0.612	0.494	Red
0.606	0.561	Red
0.634	0.526	Red
0.577	0.478	Red
0.576	0.500	Red
0.665	0.490	Red
0.638	0.508	Red
0.629	0.481	Red
0.624	0.474	Red
0.566	0.501	Red
0.624	0.511	Red
0.621	0.529	Red
0.616	0.466	Red
0.608	0.468	Red
0.654	0.480	Red
0.655	0.486	Red
0.581	0.454	Red
0.629	0.586	Red
0.656	0.541	Red
0.609	0.646	Red
0.650	0.590	Red
0.634	0.634	Red
0.654	0.594	Red
0.613	0.644	Red
0.652	0.577	Red
0.548	0.596	Red
0.592	0.580	Red
0.615	0.565	Red
0.697	0.602	Red
0.662	0.560	Red
0.613	0.604	Red
0.611	0.626	Red
0.610	0.588	Red
0.643	0.535	Red
0.666	0.635	Red
0.570	0.563	Red
0.655	0.584	Red
0.595	0.616	Red
0.608	0.615	Red
0.613	0.616	Red
0.610	0.602	Red
0.629	0.586	Red
0.642	0.638	Red
0.580	0.669	Red
0.638	0.654	Red
0.633	0.585	Red
0.619	0.596	Red
0.687	0.657	Red
0.701	0.583	Red
0.629	0.636	Red
0.663	0.581	Red
0.736	0.674	Red
0.746	0.610	Red
0.654	0.598	Red
0.620	0.656	Red
0.654	0.571	Red
0.734	0.626	Red
0.652	0.584	Red
0.702	0.627	Red
0.683	0.632	Red
0.654	0.548	Red
0.735	0.587	Red
0.712	0.575	Red
0.678	0.628	Red
0.656	0.588	Red
0.683	0.555	Red
0.672	0.571	Red
0.663	0.606	Red
0.665	0.615	Red
0.720	0.611	Red
0.673	0.594	Red
0.688	0.648	Red
0.695	0.613	Red
0.690	0.622	Red
0.657	0.566	Red
0.648	0.622	Red
0.671	0.574	Red
0.691	0.583	Red
0.640	0.564	Red
0.654	0.586	Red
0.638	0.594	Red
0.641	0.600	Red
0.628	0.587	Red
0.680	0.622	Red
0.682	0.561	Red
0.630	0.645	Red
0.695	0.547	Red
0.638	0.552	Red
0.559	0.579	Red
0.619	0.585	Red
0.687	0.558	Red
0.590	0.603	Red
0.614	0.643	Red
0.644	0.506	Red
0.650	0.575	Red
0.606	0.643	Red
0.627	0.588	Red
0.668	0.607	Red
0.621	0.643	Red
0.584	0.617	Red
0.681	0.614	Red
0.679	0.592	Red
0.645	0.615	Red
0.650	0.602	Red
0.618	0.571	Red
0.720	0.543	Red
0.629	0.567	Red
0.584	0.586	Red
0.556	0.587	Red
0.734	0.599	Red
0.631	0.574	Red
0.629	0.641	Red
0.602	0.630	Red
0.651	0.546	Red
0.639	0.539	Red
0.648	0.624	Red
0.632	0.552	Red
0.597	0.601	Red
0.651	0.570	Red
0.643	0.612	Red
0.605	0.600	Red
0.569	0.587	Red
0.622	0.614	Red
0.652	0.583	Red
0.634	0.624	Red
0.629	0.610	Red
0.641	0.594	Red
0.626	0.625	Red
0.602	0.613	Red
0.629	0.630	Red
0.634	0.601	Red
0.602	0.576	Red
0.614	0.615	Red
0.652	0.623	Red
0.588	0.625	Red
0.610	0.614	Red
0.602	0.590	Red
0.655	0.609	Red
0.690	0.598	Red
0.674	0.589	Red
0.684	0.632	Red
0.656	0.611	Red
0.687	0.598	Red
0.675	0.654	Red
0.677	0.595	Red
0.708	0.634	Red
0.692	0.612	Red
0.630	0.594	Red
0.693	0.639	Red
0.688	0.608	Red
0.664	0.588	Red
0.688	0.578	Red
0.695	0.592	Red
0.668	0.552	Red
0.705	0.593	Red
0.691	0.573	Red
0.704	0.589	Red
0.702	0.589	Red
0.652	0.602	Red
0.695	0.526	Red
0.702	0.581	Red
0.722	0.568	Red
0.702	0.530	Red
0.727	0.596	Red
0.623	0.563	Red
0.653	0.581	Red
0.667	0.538	Red
0.691	0.562	Red
0.670	0.559	Red
0.642	0.575	Red
0.716	0.568	Red
0.646	0.558	Red
0.678	0.587	Red
0.612	0.574	Red
0.650	0.638	Red
0.578	0.601	Red
0.647	0.588	Red
0.626	0.619	Red
0.600	0.621	Red
0.584	0.616	Red
0.666	0.601	Red
0.608	0.622	Red
0.660	0.617	Red
0.665	0.559	Red
0.620	0.600	Red
0.640	0.576	Red
0.631	0.620	Red
0.625	0.624	Red
0.646	0.585	Red
0.637	0.611	Red
0.649	0.597	Red
0.636	0.566	Red
0.639	0.622	Red
0.694	0.613	Red
0.636	0.608	Red
0.684	0.621	Red
0.665	0.607	Red
0.669	0.622	Red
0.660	0.637	Red
0.680	0.588	Red
0.686	0.608	Red
0.697	0.615	Red
0.666	0.622	Red
0.662	0.602	Red
0.650	0.630	Red
0.723	0.609	Red
0.690	0.610	Red
0.670	0.596	Red
0.662	0.601	Red
0.677	0.575	Red
0.680	0.542	Red
0.636	0.607	Red
0.675	0.566	Red
0.664	0.555	Red
0.613	0.552	Red
0.690	0.560	Red
0.662	0.594	Red
0.677	0.570	Red
0.660	0.573	Red
0.701	0.572	Red
0.669	0.520	Red
0.665	0.565	Red
0.642	0.610	Red
0.685	0.541	Red
0.648	0.567	Red
0.627	0.541	Red
0.678	0.566	Red
0.623	0.573	Red
0.668	0.570	Red
0.659	0.605	Red
0.650	0.601	Red
0.601	0.567	Red
0.658	0.551	Red
0.633	0.549	Red
0.212	0.718	Blue
0.231	0.661	Blue
0.187	0.638	Blue
0.207	0.683	Blue
0.243	0.645	Blue
0.254	0.690	Blue
0.242	0.688	Blue
0.223	0.619	Blue
0.206	0.665	Blue
0.224	0.606	Blue
0.233	0.659	Blue
0.196	0.600	Blue
0.261	0.638	Blue
0.186	0.583	Blue
0.242	0.614	Blue
0.259	0.599	Blue
0.244	0.626	Blue
0.176	0.628	Blue
0.244	0.589	Blue
0.180	0.596	Blue
0.192	0.618	Blue
0.244	0.552	Blue
0.205	0.542	Blue
0.248	0.556	Blue
0.202	0.557	Blue
0.228	0.573	Blue
0.253	0.541	Blue
0.231	0.584	Blue
0.238	0.498	Blue
0.246	0.533	Blue
0.246	0.522	Blue
0.231	0.482	Blue
0.255	0.557	Blue
0.233	0.572	Blue
0.210	0.542	Blue
0.292	0.525	Blue
0.240	0.475	Blue
0.284	0.480	Blue
0.286	0.490	Blue
0.267	0.523	Blue
0.195	0.509	Blue
0.227	0.497	Blue
0.279	0.484	Blue
0.258	0.463	Blue
0.234	0.442	Blue
0.281	0.439	Blue
0.254	0.465	Blue
0.266	0.460	Blue
0.261	0.471	Blue
0.246	0.478	Blue
0.232	0.443	Blue
0.206	0.471	Blue
0.206	0.469	Blue
0.231	0.477	Blue
0.216	0.484	Blue
0.261	0.487	Blue
0.210	0.521	Blue
0.221	0.511	Blue
0.249	0.496	Blue
0.232	0.541	Blue
0.239	0.517	Blue
0.231	0.506	Blue
0.244	0.508	Blue
0.203	0.581	Blue
0.198	0.560	Blue
0.249	0.599	Blue
0.251	0.542	Blue
0.227	0.562	Blue
0.273	0.563	Blue
0.190	0.594	Blue
0.172	0.606	Blue
0.135	0.613	Blue
0.225	0.616	Blue
0.216	0.592	Blue
0.222	0.600	Blue
0.198	0.625	Blue
0.212	0.603	Blue
0.207	0.613	Blue
0.216	0.572	Blue
0.204	0.606	Blue
0.164	0.632	Blue
0.266	0.599	Blue
0.192	0.636	Blue
0.185	0.584	Blue
0.196	0.579	Blue
0.224	0.583	Blue
0.202	0.604	Blue
0.165	0.622	Blue
0.210	0.625	Blue
0.227	0.630	Blue
0.204	0.657	Blue
0.208	0.564	Blue
0.217	0.610	Blue
0.182	0.593	Blue
0.166	0.566	Blue
0.201	0.572	Blue
0.205	0.642	Blue
0.253	0.555	Blue
0.281	0.522	Blue
0.237	0.524	Blue
0.195	0.510	Blue
0.200	0.473	Blue
0.264	0.514	Blue
0.234	0.489	Blue
0.239	0.516	Blue
0.231	0.481	Blue
0.238	0.476	Blue
0.248	0.493	Blue
0.230	0.492	Blue
0.246	0.485	Blue
0.217	0.452	Blue
0.272	0.469	Blue
0.293	0.424	Blue
0.244	0.450	Blue
0.249	0.465	Blue
0.195	0.438	Blue
0.303	0.432	Blue
0.236	0.445	Blue
0.230	0.467	Blue
0.272	0.440	Blue
0.244	0.445	Blue
0.236	0.478	Blue
0.226	0.467	Blue
0.240	0.424	Blue
0.186	0.410	Blue
0.294	0.455	Blue
0.273	0.449	Blue
0.233	0.445	Blue
0.202	0.497	Blue
0.246	0.471	Blue
0.186	0.450	Blue
0.246	0.473	Blue
0.230	0.464	Blue
0.224	0.544	Blue
0.221	0.531	Blue
0.225	0.556	Blue
0.239	0.538	Blue
0.238	0.560	Blue
0.211	0.552	Blue
0.218	0.529	Blue
0.188	0.598	Blue
0.220	0.593	Blue
0.167	0.602	Blue
0.199	0.625	Blue
0.184	0.535	Blue
0.269	0.603	Blue
0.193	0.627	Blue
0.193	0.609	Blue
0.222	0.627	Blue
0.210	0.638	Blue
0.262	0.665	Blue
0.224	0.639	Blue
0.233	0.618	Blue
0.247	0.634	Blue
0.201	0.639	Blue
0.236	0.689	Blue
0.283	0.643	Blue
0.228	0.631	Blue
0.191	0.646	Blue
0.264	0.643	Blue
0.220	0.676	Blue
0.250	0.666	Blue
0.249	0.693	Blue
0.215	0.653	Blue
0.234	0.664	Blue
0.230	0.681	Blue
0.214	0.690	Blue
0.244	0.690	Blue
0.205	0.615	Blue
0.240	0.615	Blue
0.189	0.608	Blue
0.243	0.606	Blue
0.177	0.607	Blue
0.190	0.611	Blue
0.230	0.592	Blue
0.186	0.558	Blue
0.190	0.537	Blue
0.197	0.557	Blue
0.212	0.556	Blue
0.172	0.544	Blue
0.241	0.554	Blue
0.201	0.555	Blue
0.228	0.507	Blue
0.262	0.512	Blue
0.236	0.511	Blue
0.246	0.519	Blue
0.247	0.547	Blue
0.261	0.502	Blue
0.259	0.524	Blue
0.339	0.346	Blue
0.311	0.345	Blue
0.317	0.341	Blue
0.336	0.352	Blue
0.346	0.348	Blue
0.301	0.335	Blue
0.357	0.317	Blue
0.323	0.358	Blue
0.337	0.353	Blue
0.328	0.318	Blue
0.304	0.370	Blue
0.346	0.348	Blue
0.357	0.356	Blue
0.357	0.328	Blue
0.238	0.471	Blue
0.267	0.454	Blue
0.293	0.475	Blue
0.281	0.483	Blue
0.258	0.479	Blue
0.289	0.444	Blue
0.245	0.433	Blue
0.288	0.423	Blue
0.319	0.461	Blue
0.224	0.432	Blue
0.268	0.440	Blue
0.281	0.450	Blue
0.283	0.402	Blue
0.223	0.441	Blue
0.288	0.414	Blue
0.265	0.378	Blue
0.264	0.401	Blue
0.264	0.383	Blue
0.295	0.380	Blue
0.291	0.389	Blue
0.279	0.388	Blue
0.299	0.422	Blue
0.296	0.422	Blue
0.304	0.377	Blue
0.286	0.403	Blue
0.287	0.431	Blue
0.273	0.409	Blue
0.319	0.343	Blue
0.280	0.383	Blue
0.311	0.406	Blue
0.294	0.369	Blue
0.371	0.371	Blue
0.325	0.398	Blue
0.319	0.347	Blue
0.298	0.385	Blue
